Fecha,Clics,Impresiones,CTR,Posición
2025-04-09,19,1094,1.74%,31.1
2025-04-10,17,1201,1.42%,32.2
2025-04-11,16,973,1.64%,27.4
2025-04-12,13,724,1.8%,27.6
2025-04-13,16,886,1.81%,28.1
2025-04-14,17,1097,1.55%,30.7
2025-04-15,19,889,2.14%,29.4
2025-04-16,13,734,1.77%,25.5
2025-04-17,9,698,1.29%,27.1
2025-04-18,9,679,1.33%,25.7
2025-04-19,18,831,2.17%,27.4
2025-04-20,13,986,1.32%,29.5
2025-04-21,20,1108,1.81%,28
2025-04-22,20,944,2.12%,23.5
2025-04-23,32,1139,2.81%,27.7
2025-04-24,15,1779,0.84%,28.7
2025-04-25,20,1294,1.55%,26.5
2025-04-26,15,988,1.52%,30
2025-04-27,18,1388,1.3%,29.9
2025-04-28,13,965,1.35%,32.9
2025-04-29,13,1508,0.86%,32.7
2025-04-30,28,973,2.88%,28.2
2025-05-01,20,1023,1.96%,28.8
2025-05-02,22,993,2.22%,27.7
2025-05-03,8,941,0.85%,31.5
2025-05-04,14,1071,1.31%,28.4
2025-05-05,23,1324,1.74%,30.5
2025-05-06,26,1044,2.49%,28.5
2025-05-07,18,1446,1.24%,28.3
2025-05-08,24,1433,1.67%,25.2
2025-05-09,12,972,1.23%,29.7
2025-05-10,18,1028,1.75%,30.5
2025-05-11,20,1147,1.74%,31.9
2025-05-12,15,1228,1.22%,29.2
2025-05-13,25,1337,1.87%,33.4
2025-05-14,14,1067,1.31%,28.3
2025-05-15,17,977,1.74%,30.3
2025-05-16,15,900,1.67%,27.6
2025-05-17,16,1059,1.51%,28.9
2025-05-18,23,1110,2.07%,28.3
2025-05-19,17,1235,1.38%,27.4
2025-05-20,37,1166,3.17%,26.3
2025-05-21,29,1134,2.56%,27.4
2025-05-22,18,1149,1.57%,27.9
2025-05-23,16,1869,0.86%,28.9
2025-05-24,14,1976,0.71%,27.9
2025-05-25,22,1458,1.51%,29.4
2025-05-26,25,1387,1.8%,29.5
2025-05-27,9,1305,0.69%,27.5
2025-05-28,21,1170,1.79%,28.7
2025-05-29,16,1218,1.31%,32.3
2025-05-30,21,1066,1.97%,30
2025-05-31,8,1004,0.8%,33.1
2025-06-01,16,1107,1.45%,27.7
2025-06-02,21,1167,1.8%,28.4
2025-06-03,23,1356,1.7%,29.8
2025-06-04,18,1213,1.48%,28.8
2025-06-05,16,1057,1.51%,32.2
2025-06-06,18,1054,1.71%,31.8
2025-06-07,12,1028,1.17%,29.8
2025-06-08,22,1222,1.8%,29.8
2025-06-09,18,1337,1.35%,29.4
2025-06-10,20,1355,1.48%,31.3
2025-06-11,22,1495,1.47%,29.9
2025-06-12,17,1101,1.54%,31.1
2025-06-13,13,1020,1.27%,29.6
2025-06-14,12,984,1.22%,34
2025-06-15,16,1164,1.37%,29.7
2025-06-16,24,1223,1.96%,29.4
2025-06-17,29,1097,2.64%,27.8
2025-06-18,21,1146,1.83%,29
2025-06-19,14,1019,1.37%,29
2025-06-20,14,1011,1.38%,28.4
2025-06-21,6,984,0.61%,29.6
2025-06-22,13,1817,0.72%,26.9
2025-06-23,17,2022,0.84%,29.9
2025-06-24,25,1348,1.85%,29
2025-06-25,18,1040,1.73%,25.5
2025-06-26,17,1320,1.29%,27
2025-06-27,18,975,1.85%,25.8
2025-06-28,20,970,2.06%,28.4
2025-06-29,13,1019,1.28%,25.6
2025-06-30,26,1089,2.39%,28.2
2025-07-01,24,1041,2.31%,25.9
2025-07-02,18,920,1.96%,24.4
2025-07-03,25,1016,2.46%,24.2
2025-07-04,20,953,2.1%,26.7
2025-07-05,17,903,1.88%,28.3
2025-07-06,16,917,1.74%,27.3
2025-07-07,24,1035,2.32%,23.9
2025-07-08,10,1208,0.83%,28.7
2025-07-09,20,1491,1.34%,31.3
2025-07-10,22,1187,1.85%,31.5
2025-07-11,11,923,1.19%,26.8
2025-07-12,15,1186,1.26%,29.7
2025-07-13,14,1098,1.28%,27.7
2025-07-14,26,1180,2.2%,28.6
2025-07-15,18,1098,1.64%,28.2
2025-07-16,19,978,1.94%,27.9
2025-07-17,25,1031,2.42%,27.1
2025-07-18,20,966,2.07%,25.1
2025-07-19,17,931,1.83%,28
2025-07-20,9,1284,0.7%,28.8
2025-07-21,20,1668,1.2%,29.6
2025-07-22,28,1622,1.73%,26.1
2025-07-23,20,1174,1.7%,26.8
2025-07-24,25,1557,1.61%,29.1
2025-07-25,26,1116,2.33%,25.4
2025-07-26,14,977,1.43%,28.2
2025-07-27,24,1158,2.07%,27.4
2025-07-28,26,1421,1.83%,25.3
2025-07-29,31,1097,2.83%,24.1
2025-07-30,28,1067,2.62%,26.9
2025-07-31,21,1022,2.05%,24.8
2025-08-01,28,1048,2.67%,25.7
2025-08-02,10,1074,0.93%,26.6
2025-08-03,33,1242,2.66%,27.9
2025-08-04,34,1422,2.39%,25.3
2025-08-05,13,1265,1.03%,27
2025-08-06,23,1274,1.81%,25.1
2025-08-07,15,1233,1.22%,26.3
2025-08-08,18,1034,1.74%,23.8
2025-08-09,17,1218,1.4%,28
2025-08-10,23,1199,1.92%,27.5
2025-08-11,19,1422,1.34%,28.7
2025-08-12,30,1489,2.01%,28
2025-08-13,26,1625,1.6%,30.3
2025-08-14,20,1291,1.55%,29.2
2025-08-15,20,1088,1.84%,25.3
2025-08-16,22,1156,1.9%,30.1
2025-08-17,18,1169,1.54%,28.4
2025-08-18,20,1430,1.4%,29.7
2025-08-19,27,1450,1.86%,28.6
2025-08-20,31,1473,2.1%,27.4
2025-08-21,21,1931,1.09%,26.9
2025-08-22,24,1146,2.09%,26.5
2025-08-23,16,1556,1.03%,29.7
2025-08-24,22,1355,1.62%,28.1
2025-08-25,31,1438,2.16%,27.7
2025-08-26,36,1212,2.97%,25.9
2025-08-27,29,1234,2.35%,27.2
2025-08-28,21,1249,1.68%,29.5
2025-08-29,12,1121,1.07%,26.4
2025-08-30,21,1172,1.79%,29.4
2025-08-31,19,1635,1.16%,26.8
2025-09-01,19,1461,1.3%,32.5
2025-09-02,14,1303,1.07%,31.6
2025-09-03,15,1250,1.2%,28
2025-09-04,22,1341,1.64%,29
2025-09-05,32,1385,2.31%,27.3
2025-09-06,18,1355,1.33%,28.2
2025-09-07,14,1164,1.2%,30.1
2025-09-08,17,1402,1.21%,29.6
2025-09-09,26,1402,1.85%,29.5
2025-09-10,25,1415,1.77%,28.9
2025-09-11,12,941,1.28%,22.9
2025-09-12,22,998,2.2%,19
2025-09-13,18,846,2.13%,14.6
2025-09-14,19,892,2.13%,16.2
2025-09-15,17,954,1.78%,19
2025-09-16,20,957,2.09%,18.2
2025-09-17,25,868,2.88%,15.9
2025-09-18,28,901,3.11%,16
2025-09-19,17,779,2.18%,19.1
2025-09-20,19,777,2.45%,19.2
2025-09-21,13,888,1.46%,17.1
2025-09-22,19,1003,1.89%,17.5
2025-09-23,23,960,2.4%,17.4
2025-09-24,20,1043,1.92%,18.6
2025-09-25,20,945,2.12%,19.9
2025-09-26,19,903,2.1%,17.6
2025-09-27,10,693,1.44%,14.7
2025-09-28,15,767,1.96%,16.5
2025-09-29,20,967,2.07%,20.2
2025-09-30,26,867,3%,17.3
2025-10-01,16,738,2.17%,15
2025-10-02,17,808,2.1%,15.8
2025-10-03,13,720,1.81%,13.5
2025-10-04,23,740,3.11%,14.5
2025-10-05,21,745,2.82%,13.6
2025-10-06,32,1016,3.15%,24.5
2025-10-07,20,753,2.66%,14.8
2025-10-08,17,764,2.23%,14.4
2025-10-09,16,818,1.96%,14.3
2025-10-10,20,763,2.62%,13.1
2025-10-11,23,652,3.53%,16.1
2025-10-12,12,792,1.52%,15.4
2025-10-13,23,840,2.74%,16.5
2025-10-14,18,756,2.38%,13.1
2025-10-15,22,780,2.82%,14.2
2025-10-16,30,785,3.82%,14.2
2025-10-17,12,659,1.82%,14.4
2025-10-18,7,690,1.01%,14.5
2025-10-19,14,906,1.55%,17.5
2025-10-20,25,930,2.69%,18
2025-10-21,25,829,3.02%,14.1
2025-10-22,21,824,2.55%,14.1
2025-10-23,29,825,3.52%,16.5
2025-10-24,22,812,2.71%,14
2025-10-25,17,759,2.24%,17.4
2025-10-26,16,761,2.1%,13.4
2025-10-27,23,1019,2.26%,17.7
2025-10-28,27,988,2.73%,14.8
2025-10-29,21,881,2.38%,14.6
2025-10-30,16,750,2.13%,14.9
2025-10-31,22,889,2.47%,17
2025-11-01,17,818,2.08%,14.9
2025-11-02,17,789,2.15%,16.8
2025-11-03,20,945,2.12%,15.5
2025-11-04,16,817,1.96%,13
2025-11-05,19,885,2.15%,12.9
2025-11-06,20,762,2.62%,13.6
2025-11-07,20,855,2.34%,15.5
2025-11-08,11,1160,0.95%,11.8
2025-11-09,7,812,0.86%,14.9
2025-11-10,13,859,1.51%,17.1
2025-11-11,17,875,1.94%,13
2025-11-12,29,911,3.18%,12.6
2025-11-13,21,867,2.42%,15.4
2025-11-14,16,829,1.93%,15.5
2025-11-15,11,729,1.51%,15.9
2025-11-16,13,800,1.62%,15.3
2025-11-17,18,956,1.88%,17.1
2025-11-18,25,865,2.89%,13.1
2025-11-19,14,1040,1.35%,18
2025-11-20,17,885,1.92%,15.4
2025-11-21,10,827,1.21%,13.9
2025-11-22,8,655,1.22%,19.3
2025-11-23,10,756,1.32%,17.9
2025-11-24,15,1078,1.39%,17.1
2025-11-25,14,1013,1.38%,15.4
2025-11-26,9,1039,0.87%,13.9
2025-11-27,11,1155,0.95%,16.9
2025-11-28,7,926,0.76%,14.7
2025-11-29,11,840,1.31%,14.7
2025-11-30,15,909,1.65%,17.7
2025-12-01,9,1223,0.74%,15.3
2025-12-02,7,1186,0.59%,14.4
2025-12-03,17,1072,1.59%,16.2
2025-12-04,12,1040,1.15%,16.7
2025-12-05,9,1047,0.86%,20.6
2025-12-06,11,785,1.4%,18.7
2025-12-07,7,909,0.77%,18.1
2025-12-08,12,1123,1.07%,20
2025-12-09,13,1325,0.98%,17.8
2025-12-10,15,1158,1.3%,17
2025-12-11,9,1005,0.9%,20.3
2025-12-12,11,983,1.12%,18.2
2025-12-13,8,773,1.03%,21.2
2025-12-14,17,977,1.74%,22.8
2025-12-15,23,1101,2.09%,20.3
2025-12-16,14,1103,1.27%,18.5
2025-12-17,29,1035,2.8%,18.1
2025-12-18,8,943,0.85%,18.4
2025-12-19,11,844,1.3%,20
2025-12-20,10,837,1.19%,22
2025-12-21,10,922,1.08%,22.6
2025-12-22,17,1060,1.6%,19.8
2025-12-23,5,919,0.54%,20.8
2025-12-24,4,727,0.55%,23.8
2025-12-25,8,730,1.1%,21.5
2025-12-26,13,917,1.42%,21.1
2025-12-27,8,867,0.92%,21.1
2025-12-28,10,1011,0.99%,20.4
2025-12-29,13,1036,1.25%,18.9
2025-12-30,10,911,1.1%,19.4
2025-12-31,7,789,0.89%,22.4
2026-01-01,12,867,1.38%,19.1
2026-01-02,17,1010,1.68%,19.1
2026-01-03,9,849,1.06%,20.8
2026-01-04,16,1036,1.54%,20.3
2026-01-05,19,1222,1.55%,25.3
2026-01-06,14,1091,1.28%,21.8
2026-01-07,19,1290,1.47%,17.8
2026-01-08,19,1497,1.27%,22.7
2026-01-09,18,1351,1.33%,21.8
2026-01-10,12,1155,1.04%,21.3
2026-01-11,9,1364,0.66%,23.9
2026-01-12,25,1475,1.69%,19.7
2026-01-13,16,1356,1.18%,17.8
2026-01-14,22,1410,1.56%,18.3
2026-01-15,21,1365,1.54%,18.4
2026-01-16,23,1363,1.69%,17.9
2026-01-17,21,1147,1.83%,19.6
2026-01-18,18,1441,1.25%,22.4
2026-01-19,25,1386,1.8%,16.9
2026-01-20,22,1431,1.54%,17.7
2026-01-21,13,1456,0.89%,17.6
2026-01-22,20,1481,1.35%,17.7
2026-01-23,26,1257,2.07%,19.8
2026-01-24,18,1170,1.54%,21
2026-01-25,17,1387,1.23%,22.5
2026-01-26,26,1365,1.9%,18.2
2026-01-27,25,1487,1.68%,17.4
2026-01-28,21,1680,1.25%,20.6
2026-01-29,19,1174,1.62%,18
2026-01-30,10,1203,0.83%,19.4
2026-01-31,16,1132,1.41%,18.8
2026-02-01,20,1437,1.39%,21.9
2026-02-02,21,1538,1.37%,15.9
2026-02-03,17,1310,1.3%,11
2026-02-04,25,1354,1.85%,13.3
2026-02-05,29,1474,1.97%,16.5
2026-02-06,17,1331,1.28%,17.1
2026-02-07,12,1021,1.18%,13.2
2026-02-08,14,1292,1.08%,20.6
2026-02-09,19,1503,1.26%,15.1
2026-02-10,28,1521,1.84%,13.7
2026-02-11,35,1546,2.26%,15.4
2026-02-12,24,1504,1.6%,15.1
2026-02-13,20,1364,1.47%,14.3
2026-02-14,19,1127,1.69%,16.6
2026-02-15,23,1378,1.67%,16.3
2026-02-16,27,1449,1.86%,14.1
2026-02-17,17,1362,1.25%,15
2026-02-18,20,1522,1.31%,14.1
2026-02-19,15,1401,1.07%,13
2026-02-20,34,1375,2.47%,11.3
2026-02-21,11,1021,1.08%,13.5
2026-02-22,15,1139,1.32%,15.5
2026-02-23,41,1255,3.27%,12
2026-02-24,21,1296,1.62%,14.6
2026-02-25,18,1533,1.17%,13.3
2026-02-26,14,1590,0.88%,14
2026-02-27,12,1499,0.8%,14.6
2026-02-28,12,1277,0.94%,17.1
2026-03-01,10,1284,0.78%,18.7
2026-03-02,33,1715,1.92%,13.3
2026-03-03,18,2111,0.85%,11.5
2026-03-04,22,1547,1.42%,8.5
2026-03-05,19,1451,1.31%,8.6
2026-03-06,20,1457,1.37%,9
2026-03-07,16,1206,1.33%,9.5
2026-03-08,13,1152,1.13%,10.9
2026-03-09,21,1642,1.28%,9.5
2026-03-10,17,1496,1.14%,8.7
2026-03-11,17,1277,1.33%,8.7
2026-03-12,21,1425,1.47%,8.7
2026-03-13,18,1314,1.37%,9.6
2026-03-14,15,1112,1.35%,10.8
2026-03-15,11,1031,1.07%,12.5
2026-03-16,19,1310,1.45%,10.4
2026-03-17,18,1418,1.27%,10.6
2026-03-18,26,1153,2.25%,10.5
2026-03-19,25,1146,2.18%,10.2
2026-03-20,20,1165,1.72%,8.8
2026-03-21,12,884,1.36%,9.4
2026-03-22,18,1047,1.72%,10.2
2026-03-23,24,1246,1.93%,9.1
2026-03-24,12,1166,1.03%,8.5
2026-03-25,31,1132,2.74%,10.5
2026-03-26,26,979,2.66%,8.3
2026-03-27,21,901,2.33%,8.9
2026-03-28,19,796,2.39%,11
2026-03-29,13,965,1.35%,10.9
2026-03-30,19,1131,1.68%,9.9
2026-03-31,15,1088,1.38%,10.1
2026-04-01,23,1035,2.22%,10.7
2026-04-02,12,935,1.28%,11.7
2026-04-03,17,846,2.01%,11.1
2026-04-04,6,677,0.89%,11.4
2026-04-05,10,546,1.83%,11.8
2026-04-06,11,631,1.74%,13
2026-04-07,18,787,2.29%,10.7
2026-04-08,19,890,2.13%,10.5