old_url,target_url,redirect_type,reason,status,notes
https://www.blancareal.com/,https://blancareal.com/es/,301,Adjusted to the live canonical Spanish homepage.,approved,Updated during VPS cutover once the public homepage was confirmed as /es/.
https://www.blancareal.com/blog/,https://blancareal.com/en/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/our-developments/,https://blancareal.com/en/projects/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/contact/,https://blancareal.com/en/contact/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/faqs/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/new-construction/,https://blancareal.com/en/projects/,301,"No like-for-like page exists, but the live projects section is the closest section-level equivalent for new-construction intent.",approved_section_fallback,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/services/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/luxury-villas/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/second-hand/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,https://blancareal.com/en/post/sell-your-home-blancareal/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/trade-war-us-costa-del-sol-europe-international/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/taxes-pay-costa-del-sol-property/,https://blancareal.com/en/post/taxes-pay-costa-del-sol-property/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/dorronsoro-architeture-firm-behind-calahonda-sunset/,https://blancareal.com/en/post/dorronsoro-architects-behind-calahonda-sunset/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/blanca-real-continues-to-support-malaga-expo-2027/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/who-pays-real-estate-commission-fees-in-spain/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/why-buy-house-malaga-with-agency/,https://blancareal.com/en/post/why-buy-house-malaga-with-agency/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/style-properties-costa-del-sol/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/vacation/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/es/que-conlleva-obtener-hoy-el-certificado-a-en-viviendas/,https://blancareal.com/es/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/property-search/,https://blancareal.com/en/properties/,301,Confirmed fallback to a broader live section.,approved,Validated against a live broader section in the new site.
https://www.blancareal.com/5-reasons-invest-costa-del-sol-given-instability-middle-east/,https://blancareal.com/en/post/5-reasons-invest-costa-del-sol-given-instability-middle-east/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/es/blog/,https://blancareal.com/es/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/de/blog/,https://blancareal.com/de/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/nl/bloggen/,https://blancareal.com/nl/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/fr/blog/,https://blancareal.com/fr/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/it/blog/,https://blancareal.com/it/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/blancareal-and-resimo-innovative-real-estate-experience-on-the-costa-del-sol/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/de/steuern-haus-kaufen-spanien/,https://blancareal.com/de/post/steuern-zahlen-costa-del-sol-immobilie/,301,Confirmed equivalent live destination.,approved,Matched to the live German version of the current taxes guide.
https://www.blancareal.com/it/tasse-comprare-casa-in-spagna/,https://blancareal.com/it/post/tasse-pagare-proprieta-costa-del-sol/,301,Confirmed equivalent live destination.,approved,Matched to the live Italian version of the current taxes guide.
https://www.blancareal.com/es/gastos-comprar-piso-en-malaga/,https://blancareal.com/es/post/impuestos-pagar-propiedad-costa-del-sol/,301,Confirmed equivalent live destination.,approved,Matched to the live Spanish version of the current taxes guide.
https://www.blancareal.com/fr/impots-achat-maison-en-espagne/,https://blancareal.com/fr/post/taxes-payer-propriete-costa-del-sol/,301,Confirmed equivalent live destination.,approved,Matched to the live French version of the current taxes guide.
https://www.blancareal.com/rentals/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/es/el-precio-de-la-eficiencia-energetica-una-comparativa-desde-ahorro-en-luz-hasta-sostenibilidad/,https://blancareal.com/es/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/sustainable-fuengirola/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/es/certificados-de-eficiencia-energetica-de-clase-a/,https://blancareal.com/es/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/es/consejos-para-nueva-inversion-dar-de-alta-la-luz/,https://blancareal.com/es/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/real-estate-boom/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/es/comercializacion-inmobiliaria-costa-del-sol/,https://blancareal.com/es/commercialization/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/income-tax-return-2021-who-how-and-when-to-submit-it/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/nl/onze-promoties/,https://blancareal.com/nl/projects/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/why-invest-in-andalusia/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/advantages-sustainable-house/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/blancareal-new-sales-office-at-puerto-de-la-torre-costa-del-sol/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/es/sell-your-property/,https://blancareal.com/es/sell-with-us/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
