old_url,target_url,redirect_type,match_strategy,status,notes
https://www.blancareal.com/property/new-townhouses-san-pedro-de-alcantara/,https://blancareal.com/en/property/townhouses-san-pedro-de-alcantara/,301,exact_property_match,approved,Preserved existing candidate from previous pass. No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals. Legacy property slug mapped through explicit alias (townhouses-san-pedro-de-alcantara).
https://www.blancareal.com/property/3-bedroom-apartment-beachfront-fuengirola/,https://blancareal.com/en/property/3-bedroom-apartment-paseo-maritimo-fuengirola/,301,exact_property_match,approved,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (3-bedroom-apartment-paseo-maritimo-fuengirola).
https://www.blancareal.com/property/bright-apartment-san-pedro-de-alcantara/,https://blancareal.com/en/property/apartment-san-pedro-de-alcantara/,301,exact_property_match,approved,No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals.
https://www.blancareal.com/property/amazing-duplex-penthouse-fuengirola/,https://blancareal.com/en/property/4-bedroom-duplex-penthouse-fuengirola/,301,exact_property_match,approved,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (4-bedroom-duplex-penthouse-fuengirola).
https://www.blancareal.com/property/3-bedrooms-penthouse-las-lagunas-mijas/,https://blancareal.com/en/property/3-bedroom-penthouse-las-lagunas-de-mijas/,301,exact_property_match,approved,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (3-bedroom-penthouse-las-lagunas-de-mijas).
https://www.blancareal.com/property/piso-1a-planta-avenida-carlos-haya-malaga/,https://blancareal.com/en/property/1-bedroom-apartment-carlos-haya-malaga/,301,exact_property_match,approved,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (1-bedroom-apartment-carlos-haya-malaga).
https://www.blancareal.com/property/new-build-penthouse-los-pacos-fuengirola/,https://blancareal.com/en/property/new-build-penthouse-fuengirola/,301,exact_property_match,manual_review_hold,"Preserved existing candidate from previous pass. Type mismatch to verify: old looks penthouse, JSON property.type=townhouse. Legacy property slug mapped through explicit alias (new-build-penthouse-fuengirola)."
https://www.blancareal.com/property/spectacular-new-build-property-fuengirola/,https://blancareal.com/en/property/new-build-penthouse-fuengirola/,301,manual_review_hold,manual_review_hold,Top candidates are close (56 vs 56).
https://www.blancareal.com/property/beautiful-apartment-san-pedro/,https://blancareal.com/en/property/apartment-san-pedro-de-alcantara/,301,manual_review_hold,manual_review_hold,Top candidates are close (62 vs 54). No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals.
https://www.blancareal.com/property/charming-apartment-san-pedro/,https://blancareal.com/en/property/apartment-san-pedro-de-alcantara/,301,manual_review_hold,manual_review_hold,Top candidates are close (62 vs 54). No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals.
https://www.blancareal.com/property/sea-view-penthouse-arenal-golf-double-parking-storage/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/newly-built-luxury-appartment-costa-del-sol/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,No strong property-level match found. Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/staylish-villa-with-sea-views-marbella-east/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/penthouses-with-sea-views-in-estepona/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/luxury-apartments-with-sea-views-in-ojen/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/newly-built-penthouse-apartment-in-el-higueron/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,No strong property-level match found. Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/holiday-rental-apartment-near-the-beach-mijas-costa/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/apartments-for-sale-1-2-or-3-beds-with-sea-views-mijas/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,Top candidates are close (32 vs 32). Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/new-build-flats-in-el-higueron-fuengirola/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,"Top candidates are close (40 vs 40). Type mismatch to verify: old looks apartment, JSON property.type=townhouse. Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail."
https://www.blancareal.com/property/houses-for-sale-mijas/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/urban-plot-for-sale-torrox-malaga/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/beachfront-villa-in-costa-del-sol-for-rent/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/plot-for-sale-in-mijas/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/plot-in-nueva-andalucia-with-project-marbella/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,No strong property-level match found. Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/wonderful-indipendent-detached-villa-in-cabopino-marbella/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/new-construction-luxury-villa-with-swimming-pool-in-el-higueron-fuengirola/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,Top candidates are close (34 vs 32). Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/properties-for-sale-in-mijas-costa/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/2-3-bedroom-apartments-sea-views-sotogrande/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/luxury-villa-nueva-andalucia-marbella/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/plot-for-sale-mijas-costa/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/beautiful-modern-1st-floor-apartment-las-lagunas-de-mijas/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,Top candidates are close (42 vs 34). Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/3-story-family-home-fuengirola/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/townhouse-with-sea-and-fuengirola-views-costa-del-sol/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,Top candidates are close (34 vs 34). Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/almitak-offplan-appartements-and-penthouses-mijas-costa/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,Top candidates are close (34 vs 34). Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/almitak-offplan-apartments-and-penthouses-mijas-costa/,https://blancareal.com/en/projects/,301,projects_index_fallback,approved_section_fallback,Top candidates are close (34 vs 34). Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/plot-for-sale-in-mijas-costa/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/exclusive-luxury-villa-san-pedro-alcantara/,https://blancareal.com/en/properties/,301,properties_index_fallback,approved_section_fallback,No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals. Closest safe fallback is the general properties catalogue.