sequence,phase,task_id,workstream,priority,status,scope_count,task,why_it_matters,input_files,output_files,depends_on,owner,success_criteria,notes
1,00-discovery,T001,SEO Strategy,critical,pending,1869 new URLs + 151 legacy URLs,"Freeze the migration baseline and keep the three master files as the source of truth.","Without a frozen baseline, redirect and content decisions drift and create SEO loss.","seo_url_audit_master.csv | seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Same files kept versioned and reviewed",none,"SEO + PM","All stakeholders work from the same current files and no parallel spreadsheet diverges.","This is the control point before making redirects or content decisions."
2,00-discovery,T002,Legacy Audit,critical,pending,151 legacy URLs,"Validate that the legacy URL universe is complete before launch work starts.","If legacy URLs are missing now, they will become untracked 404s after migration.","urls-antiguaweb.txt | seo_url_legacy_redirect_map.csv","Updated urls-antiguaweb.txt if anything else appears",T001,"SEO","All known legacy URLs from sitemaps, exports and manual lists are present once and normalized.","Add any extra sitemap or analytics export here if available."
3,00-discovery,T003,SEO Audit,high,pending,151 legacy URLs,"Enrich the legacy list with traffic, rankings and backlinks from external SEO tools.","This is how you decide what must be recreated exactly and what can be merged safely.","seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Annotated copy of seo_url_legacy_gap_action_plan.csv",T002,"SEO","Each legacy URL has an external-value check or a deliberate 'no data' note.","Use Search Console, GA4, Ahrefs, Semrush or legacy CMS exports."
4,01-safe-redirects,T004,Redirects,critical,pending,100 URLs,"Approve the safe redirect set: exact_match + mapped_equivalent.","These are the lowest-risk 301s and can be implemented early.","seo_url_legacy_redirect_map.csv","Approved redirect subset",T003,"SEO + Dev","Every exact or mapped equivalent redirect points to a semantically correct final URL.","Current safe set is 3 exact_match + 97 mapped_equivalent."
5,01-safe-redirects,T005,Redirects,high,pending,50 URLs,"Review every merge_to_parent redirect one by one before accepting it.","A generic parent redirect is the fastest way to lose rankings on transactional URLs.","seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Accepted or rejected merge list",T003,"SEO + Product","Each merge_to_parent row is confirmed as acceptable or moved into recreate/indexable work.","Do not bulk-approve these."
6,01-safe-redirects,T006,Legacy Audit,medium,pending,1 unknown URL,"Identify the unresolved legacy WordPress page_id URL and decide its final destination.","Unidentified legacy pages should never be left as blind redirects.","seo_url_legacy_redirect_map.csv","Resolved mapping for ?page_id=311877",T002,"SEO + Content","The remaining needs_manual_decision row is either mapped exactly or marked gone with justification.","Current unresolved URL is https://www.blancareal.com/?page_id=311877."
7,02-content-gaps,T007,Indexability,critical,pending,44 URLs,"Review the 44 legacy URLs whose best current target exists but is still noindex.","If the target stays noindex, the redirect cannot preserve SEO value.","seo_url_legacy_gap_action_plan.csv | seo_url_audit_master.csv","Decision list: make indexable vs create exact equivalent",T003,"SEO + Dev","Each of the 44 rows has a final decision.","This is the biggest fast-win bucket."
8,02-content-gaps,T008,Indexability,critical,pending,44 URLs,"Implement the approved indexability changes on current targets.","A good target only preserves SEO if it is indexable, canonical and crawlable.","seo_url_audit_master.csv | app routes/layout metadata files","Updated route metadata, canonicals and sitemap behavior",T007,"Dev + SEO","Approved targets move from noindex to indexable with correct canonical behavior.","Do not open low-value thin pages just to match counts."
9,02-content-gaps,T009,Content Migration,critical,pending,16 posts,"Recreate or import the legacy posts that still have SEO or link value.","Informational URLs often rank independently and should not die into a blog index redirect.","seo_url_legacy_gap_action_plan.csv | legacy CMS/source content","Published replacement posts",T003,"Content + SEO","Each valuable legacy post has a live replacement URL with equivalent topic intent.","Current P1 post bucket is 16 URLs."
10,02-content-gaps,T010,Transactional SEO,critical,pending,15 landings/fichas,"Create exact or near-exact equivalent property/project/landing pages for the highest-value transactional gaps.","Generic catalogue redirects usually lose rankings for explicit property intent queries.","seo_url_legacy_gap_action_plan.csv | seo_url_audit_master.csv","New landing/property URLs added to the site",T003,"SEO + Product + Dev","Every approved high-intent property gap has a live, indexable destination.","Current P1 create-equivalent bucket is 15 URLs."
11,02-content-gaps,T011,Transactional SEO,high,pending,4 URLs,"Review the P2 property gaps that need a redirect-vs-rebuild decision.","These are lower-confidence than P1 but still important to close before launch.","seo_url_legacy_gap_action_plan.csv","Final decisions for P2 rows",T003,"SEO + Product","No P2 row remains undecided.","Keep these after P1 but before final redirect freeze."
12,02-content-gaps,T012,Legacy Cleanup,medium,pending,15 URLs,"Handle P3 low-value gaps, including WordPress ID URLs and category archives.","These usually do not justify net-new content, but they still need deliberate handling.","seo_url_legacy_gap_action_plan.csv","Final P3 handling list",T003,"SEO","Each P3 row is marked as keep_redirect, gone, or manual lookup completed.","Current P3 bucket includes property IDs and blog category archives."
13,03-redirect-build,T013,Redirects,critical,pending,151 legacy URLs,"Generate the final redirect matrix only after P1/P2/P3 decisions are closed.","Redirect rules built too early bake bad assumptions into production.","seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Final redirect implementation file",T004|T005|T006|T007|T009|T010|T011|T012,"SEO + Dev","Every legacy URL has one final migration status and one final redirect outcome.","This becomes the deployable redirect source of truth."
14,03-redirect-build,T014,Frontend/Platform,critical,pending,all redirect rules,"Implement the 301 redirects in the real delivery layer.","A spreadsheet does nothing until the platform actually serves the redirects.","Final redirect implementation file","Actual redirect config in app/platform",T013,"Dev","Every approved redirect resolves as a single-hop 301 to the correct final URL.","Implementation target may be Astro/Vercel/server config depending on current stack."
15,03-redirect-build,T015,Canonical SEO,high,pending,all migrated targets,"Review canonicals, hreflang and self-referencing behavior on all migration targets.","Bad canonicals or hreflang can override good redirects and waste migration work.","seo_url_audit_master.csv | route metadata files","Validated canonical and hreflang coverage",T008|T010|T014,"SEO + Dev","Every indexable target self-canonicals correctly and multilingual alternates remain coherent.","Especially important for /es /en /de /fr /it /nl."
16,03-redirect-build,T016,Sitemaps,high,pending,all indexable URLs,"Regenerate and validate the sitemap set after indexability and new content changes.","Search engines need the final post-migration URL set, not the pre-migration draft.","seo_url_audit_master.csv | sitemap source files","Updated sitemap output",T008|T009|T010|T015,"Dev + SEO","Every indexable final URL is present in sitemap and excluded URLs are absent.","Re-run the audit generator after content and metadata changes."
17,04-internal-seo,T017,Internal Linking,high,pending,sitewide,"Update internal links so the new site points to final canonical URLs everywhere.","Internal links reinforce redirects, canonicals and crawl efficiency.","Site templates/components/content","Updated internal links",T010|T014|T015,"Dev + Content","No nav, cards, related content or footer areas point to deprecated migration targets.","Avoid linking internally to URLs that only exist as redirects."
18,04-internal-seo,T018,Content QA,high,pending,migrated pages only,"QA on-page SEO of recreated posts and landings.","A recreated page should match search intent, metadata and indexability, not just exist.","Published migrated pages","QA notes and fixes",T009|T010|T015,"SEO + Content","Titles, H1s, meta descriptions, copy depth and structured intent are acceptable.","Useful especially for high-value commercial queries."
19,05-prelaunch-qa,T019,Redirect QA,critical,pending,151 legacy URLs,"Run a full redirect test from every legacy URL to the final destination.","This is the final proof that nothing important breaks on go-live.","Final redirect implementation file","Redirect QA report",T014,"SEO + Dev","Each tested legacy URL returns one correct 301 chain and lands on the intended page.","No redirect loops, 302s or multi-hop chains."
20,05-prelaunch-qa,T020,Crawl QA,critical,pending,all indexable targets,"Crawl the new site to validate indexability, canonicals, noindex, 404s and orphan pages.","The migration is not safe until the crawl confirms the live result.","Live/staging site | seo_url_audit_master.csv","Technical crawl report",T015|T016|T017,"SEO + Dev","No critical crawl errors remain on indexable migration targets.","Use Screaming Frog or equivalent."
21,05-prelaunch-qa,T021,Manual QA,high,pending,critical templates,"Manually check desktop and mobile on migrated templates and critical landing pages.","Broken UX on key landing pages can waste recovered SEO traffic.","Live/staging site","Manual QA checklist",T018|T020,"Product + SEO","Priority pages render correctly and conversion paths work.","Focus on home, properties, projects, posts, contact and migrated landings."
22,06-launch,T022,Search Engines,critical,pending,all sitemaps,"Submit final sitemaps and monitor indexing after launch.","Search engines need a clean discovery path for the new URL set.","Updated sitemap output","Search Console/Bing submission confirmation",T016|T019|T020,"SEO","Final sitemap set is submitted and accepted.","Keep exact submission date recorded."
23,06-launch,T023,Monitoring,critical,pending,first 8 weeks,"Monitor 404s, redirected traffic, rankings and indexation after launch.","Migration SEO wins or losses show up in logs and search data after release, not before.","Search Console | analytics | server logs","Post-launch monitoring sheet",T022,"SEO + Dev","Critical losses are detected quickly and corrected while redirects/content are still fresh.","Check weekly for at least 6-8 weeks."
24,06-launch,T024,Change Control,medium,pending,sitewide,"Freeze non-essential SEO-impacting URL changes during migration rollout.","Changing slugs, noindex rules or canonicals mid-migration makes attribution impossible.","All migration files","Stable migration window",T013,"PM + SEO + Dev","No untracked URL changes happen during the migration window.","This is governance, not code."
